的 de/di2/di4
蝮 fu4
烯 xi1
诌 zou1/zhou1
掼 guan4
篚 fei3
獍 jing4
鹱 hu4
過 guo4
猬 wei4
褊 bian3
諡 shi4
潍 wei2
飏 yang2
隹 zhui1
镛 yong1
磾 di1
畦 qi2
贶 kuang4
黻 fu2
砑 ya4
耨 nou4
讬 tuo1
瓤 rang2
枵 xiao1
颡 sang3
噼 pi1
铙 nao2
阇 du1
澍 shu4
遛 liu4/liu2
骐 qi2
鸸 er2
裒 pou2
荛 rao2
稗 bai4
呋 fu1
嵯 cuo2
舴 ze2
驽 nu2
鸹 gua1
搦 nuo4
徂 cu2
諲 yin1
帔 pei4
翥 zhu4
剡 shan4/yan3
犄 ji1
镬 huo4
霪 yin2
裥 jian3
犷 guang3
綝 chen1
彖 tuan4
絷 zhi2
锞 ke4
鎏 liu2
鄩 xun2
珞 luo4
烷 wan2
筇 qiong2
杪 miao3
罨 yan3
唑 zuo4
嵝 lou3
甏 beng4
煅 duan4
鲛 jiao1
頉 yi2
啭 zhuan4
棂 ling2
矸 gan1
庹 tuo3
缧 lei2
籼 xian1
娆 rao2/rao3
俜 ping1
菥 xi1
萜 tie1
酊 ding3
疠 li4
骅 hua2
拶 zan3/za1
绂 fu2
沏 qi1
酃 ling2
垓 gai1
姝 shu1
萏 dan4
鹂 li2
薹 tai2
崃 lai2
钐 shan1
鲧 gun3
扃 jiong1
跖 zhi2
怛 da2
颀 qi2
泅 qiu2
菘 song1
榫 sun3
鸫 dong1
蜇 zhe1/zhe2
祢 mi2
叻 le4
崮 gu4
鐾 bei4
聃 dan1
龢 he2
铤 ding4/ting3
跆 tai2
阯 zhi3
圄 yu3
篾 mie4
艨 meng2
菖 chang1
殛 ji2
硐 dong4
螫 shi4/zhe1
柙 xia2
郛 fu2
骝 liu2
尥 liao4
岜 ba1
蜴 yi4
砻 long2
唁 yan4
逄 pang2
堞 die2
揄 yu2
溧 li4
荭 hong2
镗 tang1/tang2
潸 shan1
砷 shen1
觜 zi1/zui3
耜 si4
鬣 lie4
坌 ben4
莶 xian1
孱 can4/chan2
碚 bei4
哿 ge3
屦 ju4
氰 qing2
吖 a1
絜 jie2
泮 pan4
颧 quan2
倥 kong1/kong3
囹 ling2
佾 yi4
疥 jie4
枥 li4
埒 lei4/lie4
酯 zhi3
體 ti3
嫫 mo2
酤 gu1
镍 nie4
锪 huo1
蜮 yu4
蓍 shi1
滹 hu1
瘳 chou1
钒 fan2
尢 wang1/you2
唰 shua1
煺 tui4
蹉 cuo1
菑 zi1
痍 yi2
锔 ju1/ju2
栌 lu2
枸 gou1/gou3/ju3
刳 ku1
飚 biao1
疸 dan3/da
枇 pi2
蚵 e2/ke1
侪 chai2
苕 tiao2
適 shi4
杌 wu4
趄 ju1/qie4
婧 jing4
镞 zu2
绨 ti2
痿 wei3
踮 dian3
鲅 ba4
钲 zheng1
翮 he2
與 yu3
潴 zhu1
钇 yi3
镎 na2
菝 ba2
頠 wei3
埙 xun1
蘼 mi2
砹 ai4
簠 fu3
茯 fu2
仵 wu3
茕 qiong2
淬 cui4
偬 zong3
汨 mi4
楦 xuan4
镄 fei4
鳝 shan4
肀 yu4
虡 ju4
廛 chan2
猊 ni2
谿 ji1
囡 nan1
傺 chi4
滟 yan4
痨 lao2
帙 zhi4
苾 bi4
谂 shen3
邝 kuang4
帼 guo2
蝼 lou2
酩 ming3
骢 cong1
衄 nu:4/nv4
纁 xun1
郤 qie4
麂 ji3
舡 chuan2
蹰 chu2
芈 mi3
趵 bao4/bo1
樘 tang2
痤 cuo2
忸 niu3
纻 zhu4
硼 peng2
泷 long2/shuang1
咣 guang1
檠 qing2
嵴 ji2
菠 bo1
悒 yi4
鲲 kun1
撷 xie2
崤 yao2/xiao2
箪 dan1
聩 kui4
泶 xue2
锾 huan2
呖 li4
猕 mi2
镈 bo2
喵 miao1
遒 qiu2
岿 kui1
佻 tiao1
锇 e2
幞 fu2
仃 ding1
陬 zou1
炻 shi2
酹 lei4
觚 gu1
殪 yi4
砒 pi1
堙 yin1
搡 sang3
噔 deng1
锓 qin3
滏 fu3
靛 dian4
篦 bi4
粞 xi1
脔 luan2
咩 mie1
鹣 jian1
豨 xi1
徕 lai2
泱 yang1
嫜 zhang1
洱 er3
滢 ying2
龠 yue4
膘 biao1
绔 ku4
瓿 bu4
镅 mei2
窣 su1
荏 ren3
悝 kui1/li3
籥 yao4
悭 qian1
陽 yang2
蒺 ji2
鲟 xun2
颋 ting3
呙 guo1
橥 zhu1
劓 yi4
陴 pi2
邋 la1
類 lei4
锘 nuo4
躅 zhu2
坻 chi2/di3
埭 dai4
擘 bo4
揿 qin4
锬 tan2
瞋 tian2
璺 wen4
視 shi4
艋 meng3
馇 zha
憷 chu4
钹 bo2
矧 shen3
噘 jue1
箝 qian2
溱 zhen1/qin2
阢 wu4
岽 dong1
鹈 ti2
趼 jian3
骃 yin1
垅 long3
硌 ge4
洧 wei3
鲔 wei3
唳 li4
汊 cha4
苒 ran3
骜 ao4
缍 duo3
犟 jiang4
鞮 di1
怩 ni2
崦 yan1
掊 pou2/pou3
頵 yun1
岣 gou3
踽 ju3
胴 dong4
鬲 ge2
赇 qiu2
掮 qian2
髋 kuan1
硇 nao2
踣 bo2
烩 hui4
柞 zuo4/zha4
侩 kuai4
轭 e4
铖 cheng2
颏 ke1/ke2
桴 fu2
螨 man3
镝 di1/di2
痼 gu4
鹇 xian2
蝈 guo1
眄 mian3
郜 gao4
桠 ya1
篑 kui4


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































   臐
鋾 tao2
鐓 dui4
楱 cou4
鮄 fu2
舖 pu4
骯 ang1
魖 xu1
篰 bu4
蔸 dou1
眥 zi4
睄 qiao2
礡 bo2
祦 wu2
韰 xie4
飭 chi4
饐 yi4


   脨
苼 sheng1
螑 xiu4
袵 ren4
踡 juan3
蒈 kai3
邇 er3
矙 kan4
糀 hua1
鳘 min3
鵄 chi1
緍 min3
苧 zhu4
蚘 you2
趩 chi4
蹷 jue2
遆 ti2
鯙 chun2
笍 zhui4
羜 zhu4
膵 cui4
菭 tai2
葹 shi1
薐 leng2
訽 gou4
譻 ying1
轇 jiao1
遈 shi2
鐄 huang2
铔 ya1
饑 qi2
麏 jun1
臺 tai2
蠚 he1
譢 sui4
讈 li4
蹞 kui3
軌 gui3
銳 rui4
頃 qing3
麅 pao2
禠 si1
睋 e2
箹 yao4
粶 lu4
粷 ju2
緻 zhi4
苿 wei4
莖 jing1
藞 la3
藷 zhu1
蛢 ping2
蠝 lei3
詰 jie2
謬 miu4
讚 zan4
讝 zhan2
豬 zhu1
貫 guan4
趶 wu1
軅 yan4
鄉 xiang1
酁 chan2
錆 qiang1
飢 ji1
飼 si4
魰 wen2
鰪 e2
鰫 yong2
鳪 bu3
鷣 yin2
麎 chen2
黴 mei2
繑 jue1
瞡 gui1
紘 hong2
鏐 liao2
鞻 lou2
鞟 kuo4
瞓 fen3
絣 beng1
鍱 ye4
魾 pi1
砅 li4
硰 sha1
祴 gai1
竁 cui4
箮 xuan1
罦 fu2
羋 mi3
耾 hong2
膇 zhui4
芀 tiao2
蕫 dong3
蚔 qi2
蚼 gou3
衺 xie2
觡 ge2
豻 an4
貜 jue2
跇 yi4
輷 hong1
轊 wei4
轛 zhui4
郰 ju3
鐢 uu
鞢 xie4
頀 hu4
驓 ceng2
鳲 shi1
鷤 tan2
黅 jin1
睌 man3
矏 mian2
硠 lang2
秪 zhi1
窐 wa1
綉 tou4
纊 kuang4
羓 ba1
虄 sal
蜄 zhen4
衊 mie4
衵 yi4
賝 chen1
辷 yi1
霌 zhou1
颿 fan1
馎 bo2
騳 du2
鵕 jun4


   螱
馡 fei1
磫 zong1
臮 ji4
筊 jiao3
袉 tuo2
褯 jie4
鏰 beng4
陞 sheng1
镲 cha3
鬑 lian2
繒 zeng1
膼 zhua1
蓵 jie2
虀 ji1
裏 li3
醜 chou3
鍑 fu4
鷲 jiu4
齻 dian1
藑 qiong2
藬 tui1
絛 tao1
蘭 lan2
蚢 hang2
髲 bi4
繣 hua4
纕 xiang1
翭 hou2
蕳 jian1
蛖 bang4
衂 nv4
袟 zhi4
觭 ji1
躩 jue2
靉 ai4
鮌 gun3
鶚 e4
盇 he2
矺 da1
磩 qi4
礦 kuang4
纘 zuan3
翯 he4
蚿 xian2
蜏 you3
誻 ta4
蹹 ta2
錏 ya1
鞿 ji1
鯛 diao1
鳰 ru4
鼰 ju2
逤 suo4
鋸 ju4
鑽 zuan4
瞐 mo4
矒 meng2
笟 gu1
粔 ju4
緛 ruan3
聻 ni3
脛 jing4
莵 tu4
菢 bao4
葞 mi3
蕚 e4
蕷 yu4
虝 hu3
蟬 chan2
蟻 yi3
袦 na4
講 jiang3
謥 cong4
讕 lan2
蹤 zong1
鄿 ji1
鈴 ling2
鈶 ci2
鋷 nie4
閃 shan3
閰 ju2
閶 chang1
鞛 beng3
髿 suo1
鬄 di2
魜 ren2
鯕 qi2
鱽 dao1
鷷 zun1
麡 qi2
齽 jin4
糱 nie4
鎔 rong2
稡 zu2
羮 lang2
蔴 ma2
蝑 xie4
鱥 gui4
莙 jun1
鮻 suo1
鱓 tuo2
鳤 guan3
稏 ya4
竫 jing4
簮 zan1
粬 qu1
萭 yu3
蔇 ji4
薉 hui4
蘀 tuo4
衃 pei1
詡 xu3
謞 he4
譺 ai4
跦 zhu1
軶 e4
輤 qian4
轞 jian4
迲 qu4
遻 e4
邧 yuan2
郲 lai2
鄁 bei4
鄎 xi1
醷 yi3
釚 qiu2
鈷 gu3
颒 pou1
驐 dun1
鮆 ji4
鰋 yan3
鵙 ju2


   眻
矴 ding4
硥 bang4
硿 kong1
碨 wei3
祡 chai2
秄 zi3
笯 nu2
箵 xing1
綇 xiu3
臽 xian4
蒦 wo4
蜯 bang4
訬 miao3
跕 die2
鉾 mao2
銂 zhou1
鍌 xian3
顤 yao2
饢 nang2
魦 sha1
鯑 xi1
鴬 ying1
鴯 er2
譎 jue2
眹 zhen4
秌 qiu1
篬 qiang1
胑 zhi1
蟨 jue2
谽 han1
鳋 sao1
鼈 bie1
矄 xun1
镚 beng4
踺 jian4
磽 qiao3
艤 yi3
蹾 dun1
犋 ju4
颺 yang2
鴨 ya1
莻 neus
葨 wei1
蒭 chu2
蒷 yun2
蓾 lu3
貯 zhu4
賮 jin4
鈪 ngag
猸 mei2
鐐 liao4
闒 ta4
铥 diu1
鴦 yang1
鶃 yi4
鼪 sheng1
鴾 mou2
佧 ka3
齆 weng4
藛 xie3
蹎 dian1
霫 xi2
頳 cheng1
祮 gao4
稅 shui4
篩 shai1
糦 xi1
繂 lv4
翐 zhi4
肊 yi3
胊 qu2
苶 nie4
荳 dou4
蕗 lu4
蝍 ji2
詩 shi1
踆 qun1
辵 chuo4
醰 tan2
陙 chun2
靃 huo4
韲 ji1
飦 gan1
餖 dou4
鷖 yi1
籂 shi4
膱 zhi2
菍 nie4
菵 wang3
蔣 jiang3
鍟 sheng1
餅 bing3
髒 zang1
簷 yan2
軸 zhou2
釘 ding4
隸 li4
稖 bang4
笇 suan4
箒 zhou3
紗 sha1
綔 hu4
緒 xu4
縕 wen1
罁 gang1
羅 luo2
脅 xie2
脿 biao1
膲 jiao1
臋 tun2
葻 lan2
蕘 yao2
詿 gua4
賣 mai4
趮 zao4
跒 qia3
跓 zhu4
軍 jun1
邉 bian1
釠 luan4
鉄 zhi2
鑴 xi1
鞖 sui1
顫 chan4
顬 ru2
飷 jie3
駵 liu2
鶐 shu4
鷽 xue2
鸀 zhu2


   艣
輂 ju2
鼊 bi4
脭 cheng2
艞 yao4
霮 dan4
龎 pang2
鹟 weng1
蒻 ruo4
貒 tuan1
霩 kuo4
頨 yu3
餚 yao2
驆 bi4
骣 chan3
鮨 yi4
鰉 huang2
鲹 shen1
磶 xi4
禕 yi1
綌 xi4
緆 xi1
緉 liang3
羱 yuan2
臲 nie4
舝 xia2
芐 hu4
荁 huan2
蓽 bi4
蟺 dan4
裻 du2
觩 qiu2
謰 lian2
譈 dui4
讘 nie4
谹 hong2
趠 chao4
跲 jia2
郱 ping2
銋 ren2
銍 zhi4
闤 huan2
禚 zhuo2
騋 lai2
騞 huo1
鬌 duo3
鰱 lian2
鳺 fu1
鶋 ju1
鷞 shuang1
麌 yu3
眑 ao1
硋 ai4
碆 bo1
祄 xie4
秖 zhi1
稥 uu
縖 xia2
繈 qiang3
羫 kong4
肹 xi1
膸 wei3
蕪 wu2
蛒 luo4
蛠 li4
蛺 jia2
褉 xie4
覜 tiao4
觟 hua4
譀 han4
譂 dan4
蹮 xian1
軭 kuang1
輭 er2
錝 zong4
鍙 hu4
阹 qu1
霔 zhu4
頟 e2
馯 han2
鮬 ku1
鮽 yu2
鲺 shi1
鴸 zhu1
鸗 long2
鹺 cuo2
龕 kan1
龥 yue4
磏 lian2
蚏 yue4
監 jian1
縋 zhui4
縫 feng2
膟 lu4
虗 xu1
蜌 bi4
誇 kua1
謟 tao1
鯶 huan4
込 ru4
鴐 ge1
眫 pan4
聧 kui1
脝 heng1
艆 lang2
茊 zi1
戤 gai4
篼 dou1
齄 zha1
鷧 yi4
麯 qu1
磸 ding4
祻 gu4
禌 zi1
簥 jiao1
粭 he2
聠 ping2
詖 bi4
詤 huang3
迺 nai3
鏉 shou4
鬋 jian3
魱 hu2
鰰 shen2
鶜 mao2
齸 yi4
龔 gong1
籄 kui4
聺 qie2
襛 nong2
矎 xuan1
艒 mo4
蠶 can2
郋 xi2
録 lu4
鑮 bo2
鞎 hen2
驈 yu4
蟓 xiang4
矅 yao4
磈 wei3
稛 kun3
簃 yi2
臕 biao1
艐 ke4
蘪 mei2
蛷 qiu2
蠏 xie4
衕 dong4
贠 yuan2
軐 xian4
輖 zhou1
邌 li2
郵 you2
醄 tao2
醼 yan4
鳒 jian1
鶺 ji2
鸇 zhan1
龓 long2
眕 zhen3
睘 qiong2
瞼 jian3
矂 sao4
翉 ben3
聦 cong1
賲 bao3
钃 zhu2
鼶 si1
綑 kun3
緲 miao3
踐 jian4
軡 qian2
輾 nian3
銷 xiao1
閣 ge2
頁 ye4
驟 zhou4
铽 te4
矡 jue2
硽 yan1
碼 ma3
禦 yu4
禮 li3
稟 bing3
竇 dou4
笐 hang2
笗 dong1
篂 xing1
簢 min3
簯 qi3
編 bian1
繆 miao4
繝 jian4
罋 weng4
葯 yao4
薖 ke1
藮 qiao2
蘆 lu2
蝿 ying2
蠈 zei2
袇 ran2
袐 bi4
褨 cha2
訴 su4
詫 du4
詬 gou4
諄 zhun1
貨 huo4
賢 xian2
贂 chen3
贏 ying2
跔 ju1
輪 lun2
遷 qian1
釀 niang4
鈾 you2
鑿 zao2
闄 yao3
頌 song4
頎 ken3
願 yuan4
騎 qi2
鯚 ji4
鱗 lin2
鲗 zei2
鴮 wu1
鴵 xiao1
鶕 an1
鼤 wen2


   蠥
藠 jiao4
饈 xiu1
纍 lei4
簕 le4
趰 er3
饌 zhuan4
蟢 xi3
鷺 lu4
祩 zhu4
秹 ren3
虰 ding1
鏸 hui4
餟 zhui4
籔 shu3
鍚 yang2
穋 lu4
簎 ji2
簙 bo2
粠 hong2
紽 tuo2
綋 hong2
繓 zuo3
罫 gua4
聨 lian2
胉 bo2
荺 yun2
莦 xiao1
菤 juan3
葽 yao1
藾 lai4
蘳 hua4
蝚 nao2
袾 zhu1
褟 ta1
襴 lan2
蹍 zhan3
邞 fu1
鄸 meng2
鄾 you1
鋽 diao4
霒 yin1
韘 she4
飱 can1
餲 ai4
饙 fen1
饛 meng2
駬 er3
駭 hai4
骴 zhai4
鳦 yi3
鴶 jia2
鶖 qiu1
鶹 liu2
鸋 ning2
鸒 yu4
硉 lu4
礲 long2
紴 bo1
羻 qiang4
耭 ji1
艌 nian4
蕽 nong2
蘴 feng1
誷 wang3
趭 jiao4
趲 zan3
跴 cai3
躀 guan3
輺 zi1
鄨 bi4
鎻 suo3
鏬 xia4
鑅 heng2
鑳 jian4
韅 xian3
驏 zhan4
髸 gong1
髾 shao1
鰦 zi1
鵊 jia2
鷶 mai3
黵 dan3
齚 ze2
齱 chuo4


   鈚
睞 lai4
筶 gao3
籠 long2
綠 lv4
肅 su4
鋕 zhi4
蔔 bo
糰 tuan2
締 di4
羺 nou2
腪 yun4
蓇 gu1
蓡 shen1
飰 fan4
磦 piao1
繃 beng1
羵 fen2
聫 lian2
艂 feng2
藯 wei4
蝹 ao3
諑 zhuo2
謧 li2
鵀 ren2
麉 jian1
麣 yan2
軎 wei4
訟 song4
礋 ze2
築 zhu4
蒾 mi2
遡 su4
靣 mian4
麐 lin2
鼖 fen2
穙 pu2
簺 sai4
胹 er2
脷 li4
襍 za2
覅 fiao
覗 si4
訕 shan4
訝 ya4
詨 xiao4
諥 zhong4
鋂 mei2
霳 long2
骻 kua4
髪 fa1
竚 zhu4
糷 lan4
胵 zhi4
芖 zhi4
菞 li2
萗 ce4
蔦 niao3
蛯 lao3
訅 qiu2
釪 yu2
鋫 li2
錥 yu4
鍓 ji2
馧 wo4
鰤 shi1
禱 dao3
競 jing4
紳 shen1
羷 lian3
臓 zang4
藫 tan2
覓 mi4
跰 beng4
鈍 dun4
錫 xi1
鏽 xiu4
饝 mo2
紛 fen1
遙 yao2
羭 yu2
矘 tang3
秶 zi1
稈 gan3
窇 bao2
竝 bing4
箛 gu1
箷 yi2
粸 qi2
紮 za1
緷 yun4
縼 xuan4
聰 cong1
脦 te4
蕛 ti2
薢 xie4
藖 qian1
蛬 qiong2
蛶 jie4
蝸 wo1
螐 wu1
蠄 qin2
蠌 ze2
蠍 xie1
袔 ke4
襲 xi2
賀 he4
賹 ai4
贁 bai4
贌 pu2
躍 yue4
軘 tun2
軙 qi2
軠 kuang2
辭 ci2
釛 ba2
釥 jiao3
鉃 shi4
錈 juan3
鍎 tu2
鏆 guan4
鐵 tie3
闀 hong4
陻 yin1
霧 wu4
韌 ren4
韷 le4
額 e2
顪 hui4
飸 tao1
飺 ci2
餁 ren4
駕 jia4
駣 tao2
駶 ju2
魸 pian4
鰠 sao1
鰹 jian1
鳛 xi2
鴻 hong2
鷴 xian2
鼞 tang1
鼮 ting2
齋 zhai1
龑 yan


   鉼
騍 ke4
禰 mi2
輋 she1
隲 zhi4
緵 zong1
繿 lan2
鴪 yu4
閗 dou4
犏 pian1
鮍 pi1
鯡 fei1
鱀 ji4
碪 an3
礛 jian1
稕 zhun3
窞 dan4
籈 jian1
粆 chao3
紡 fang3
紶 qu1
緧 qiu1
罬 zhuo2
罭 yu4
羃 mi4
羒 fen2
胈 ba2
脠 chan1
荍 qiao2
蒩 ju4
蕇 dian3
蝡 ruan3
蝯 yuan2
螔 yi2
螮 dai4
襡 du2
讔 yin3
豦 ju4
豵 zong1
貕 xi1
蹪 tui2
軥 gou1
迗 e2
鄇 hou4
鄵 cao4
鎼 uu
鐀 kui4
靧 hui4
鞆 bing3
頄 kui2
頖 pan4
顠 piao3
顭 meng2
駧 dong4
騤 kui2
鬠 kuo4
魯 lu3
鷕 yao3
黰 yan1
瞚 shun4
砆 fu1
硜 keng1
硾 duo3
穭 lv3
窙 xiao1
簂 guo2
簛 shai1
綕 zhi1
綘 feng2
罎 tan2
羛 yi4
腇 nei3
舺 xia2
葓 hong2
蓪 tong1
蓶 wei2
蔪 jian4
蘤 hua1
蛦 yi2
蟕 zui1
袯 bo1
襂 shan1
詃 jian3
謌 ge1
賿 liao2
跧 quan2
蹃 nuo4
軖 kuang2
迌 tu4
逈 jiong3
鄌 tang2
鈗 yun3
鈠 yi4
銕 yi2
錉 min2
鏜 tang2
鏾 xian4
鐞 nou4
锠 chang1
閈 bi4
隁 yan3
鞰 on
騬 cheng2
鬺 shang1
魌 qi1
鮹 shao1
鯇 huan4
鰶 ji4
鸕 lu2
黸 lu2
瞈 weng3
稐 lun3
蘐 xuan1
衏 yuan4
趂 zhen1
酕 mao2
釸 xi1
魀 ga4
禣 fu4
綿 mian2
緼 wen1
繨 da2
苲 zha3
菄 dong1
蓆 xi2
跘 ban4
迏 da2
驄 cong1
腃 quan1
豀 xi1
墚 liang2
郞 lang2
酦 po1
鋻 jian1
饏 dan4
駞 tuo2


   莿
衼 zhi1
謪 shang1
謱 lou2
軈 ying1
轷 hu1
顓 zhuan1
鯀 gun3
鏘 qiang1
齏 ji1
礄 qiao2
蒞 li4
蠆 chai4
誥 gao4
鏕 ao2
魳 shi1
穵 ya4
簼 gou1
趙 zhao4
韗 yun4
矀 mei2
磪 cui1
穻 yu1
竢 si4
籐 teng2
縩 cai4
繋 ji4
薾 er3
蜪 tao2
襱 long2
誳 jue4
讏 wei4
趡 wei3
郘 lv3
醎 jian3
鑟 du2
辁 quan2
闢 pi4
鵲 que4
睩 lu4
篺 pi2
蜐 jie2
蹧 zao1
隝 dao3
鵂 xiu1
紖 zhen4
訪 fang3
豎 shu4
踥 qie4
蹣 pan2
逕 jing4
鏍 luo2
缷 xie4
铹 lao2
盜 dao4
睙 lie4
矊 mian2
礈 zhui4
秳 kuo4
笖 yi3
笣 bao1
笧 shan4
籌 chou2
綄 huan2
綊 xie2
緹 ti2
繉 hun2
繚 liao2
罆 guan4
罷 ba4
羴 shan1
翑 yu4
聹 ning2
脵 gu3
茻 mang3
菚 zhan4
菦 qin2
葘 zi1
葦 wei3
葲 quan2
蔘 shen1
蕼 si4
藝 yi4
藶 li4
虘 cuo2
螁 ban1
蠻 man2
覍 bian4
訜 bin1
誠 cheng2
諘 biao3
謸 ao4
譜 pu3
讛 yi4
豈 qi3
贊 zan4
塥 ge2
輩 bei4
邫 bang1
邼 kuang1
鄧 deng4
鈣 gai4
鈱 min2
錃 pi1
鍛 duan4
鍦 shi1
鐬 hui4
鑾 luan2
閯 sha4
閿 wen2
隂 yin4
霠 yin1
鞊 ji2
鞏 gong3
韱 xian1
韼 peng2
頰 jia2
顆 ke1
顨 xun4
飾 shi4
馮 feng2
駨 xuan4
驌 su4
魵 fen2
鰟 pang2
鰬 qian2
鰸 qu1
鲬 yong3
鴟 chi1
鶆 lai2
鶊 geng1
鸁 luo2
鼑 ding3
裏

   鍥
绗 hang2
騣 zong1
簫 xiao1
瞂 fa2
蕂 sheng4
鎪 sou1
盨 xu3
葋 qu2
蠩 zhu1
睉 zhuai4
窪 wa1
趌 ji2
竤 hong2
蓧 you2
詀 zhan1
礐 hu2
荘 zhuang1
葇 rou2
鈙 qin2
颼 sou1
鵣 lai4
窫 ya4
籋 mi2
頺 tui2
莕 xing4
蕁 tan2
鑪 lu2
鰧 teng
鰷 tiao2
眧 chao3
瞉 kou4
砠 ju1
硩 che4
磌 tian2
